GRS ID,Record Title,Classification (General),Legal Citation,Disposition,Retention (Years),Retention Type,Event Type (General),Longer Retention Authorized?,Deviations Allowed?,Full Disposition Instruction,Disposition Authority,Superseded by,Last Updated,Comments
GRS_4.2.080,"Legal and regulatory compliance reporting records - Annual reports by agency CIO, Inspector General, or Senior Agency Official for Privacy",Information Access and Protection,OMB M-07-16,Temporary,5,Event_Age,Final action,Yes,Yes,"Destroy 5 years after submission of report, but longer retention is authorized if required for business use.",DAA-GRS-2013-0007-0022,,21-Dec,
GRS_4.2.081,Legal and regulatory compliance reporting records - All other agency reports and internal reports by individual system owners to the Senior Agency Official for Privacy (SAOP),Information Access and Protection,,Temporary,2,Event_Age,Final action,Yes,Yes,"Destroy 2 years after submission of report, but longer retention is authorized if required for business use.",DAA-GRS-2013-0007-0023,,21-Dec,
GRS_4.2.090,Privacy Act amendment request files,Information Access and Protection,,Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy with the records for which amendment was requested or 4 years after close of case (final determination by agency or final adjudication, whichever applies), whichever is later. Longer retention is authorized if required for business use.",DAA-GRS-2013-0007-0007,,23-Jan,This item is not machine-implementable and will be revised.
GRS_4.2.100,Automatic and systematic declassification review program records,Information Access and Protection,,Temporary,0,Event_Age,Final action,Yes,Yes,"Destroy or delete after conducting next review or when subject records are transferred to NARA, but longer retention is authorized if required for business use.",DAA-GRS-2020-0002-0001,,22-Mar,
GRS_4.2.110,Fundamental classification guidance review files,Information Access and Protection,,Temporary,5,Event_Age,Final action,Yes,Yes,"Destroy 5 years after report is submitted to ISOO, but longer retention is authorized if required for business use.",DAA-GRS-2013-0007-0011,,21-Dec,
GRS_4.2.121,Classified information nondisclosure agreements - Records maintained separately from the individual’s official personnel folder,Information Access and Protection,"ICD 703, Protection of Classified National Intelligence, 32 CFR 2001.80(d)(2)(vii)",Temporary,50,Creation_Age,,No,Yes,Destroy when 50 years old.,DAA-GRS-2015-0002-0003,,21-Dec,
GRS_4.2.130,Personally identifiable information extracts,Information Access and Protection,,N/A,N/A,N/A,N/A,N/A,N/A,Superseded,N/A ,DAA-GRS-2022-0009-0001,23-Jun,
GRS_4.2.140,Personally identifiable information extract logs,Information Access and Protection,,Temporary,0,Event_Age,No longer needed,N/A,Yes,Destroy when business use ceases.,DAA-GRS-2013-0007-0013,,21-Dec,
GRS_4.2.150,Privacy Act System of Records Notices (SORNs),Information Access and Protection,,Temporary,2,Event_Age,Superseded or obsolete,Yes,Yes,"Destroy 2 years after supersession by a revised SORN or after system ceases operation, but longer retention is authorized if required for business use.",DAA-GRS-2016-0003-0002,,21-Dec,
GRS_4.2.160,Records analyzing Personally Identifiable Information (PII) - Records of Privacy Threshold Analyses (PTAs) and Initial Privacy Assessments (IPAs),Information Access and Protection,,Temporary,3,Event_Age,Superseded or obsolete,Yes,Yes,"Destroy 3 years after associated PIA is published or determination that PIA is unnecessary, but longer retention is authorized if required for business use.",DAA-GRS-2016-0003-0003,,21-Dec,
GRS_4.2.161,Records analyzing Personally Identifiable Information (PII) - Records of Privacy Impact Assessments (PIAs),Information Access and Protection,,Temporary,3,Event_Age,Superseded or obsolete,Yes,Yes,"Destroy 3 years after a superseding PIA is published, after system ceases operation, or (if PIA concerns a website) after website is no longer available to the public, as appropriate.  Longer retention is authorized if required for business use.",DAA-GRS-2016-0003-0004,,21-Dec,
GRS_4.2.170,Computer matching program notices and agreements,Information Access and Protection,,Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy upon supersession by a revised notice or agreement, or 2 years after matching program ceases operation, but longer retention is authorized if required for business use.",DAA-GRS-2016-0003-0005 ,,23-Jan,This item is not machine-implementable and will be revised.
GRS_4.2.180,Virtual public access library records,Information Access and Protection,,Temporary,0,Event_Age,No longer needed,N/A,Yes,Destroy when no longer needed.,DAA-GRS-2016-0008-0001,,21-Dec,
GRS_4.2.190,CUI program implementation records,Information Access and Protection,,Temporary,7,Creation_Age,,Yes,Yes,"Destroy when 7 years old, but longer retention is authorized if required for business use.","DAA-GRS-2019-0001-0005 
",,21-Dec,
GRS_4.2.191,CUI information sharing agreements,Information Access and Protection,,Temporary,7,Event_Age,Superseded or obsolete,Yes,Yes,"Destroy 7 years after canceled or superseded, but longer retention is authorized if required for business use.",DAA-GRS-2019-0001-0006,,21-Dec,
GRS_4.2.192,Records of waivers of CUI requirements,Information Access and Protection,,Temporary,0,Event_Age,Final action,Yes,Yes,"Destroy when waiver is rescinded, system is no longer in use, or all affected records are destroyed, as applicable, but longer retention is authorized if required for business use.",DAA-GRS-2019-0001-0007,,21-Dec,
GRS_4.2.194,Records of requests for decontrol and challenges to CUI designations - Records filed separately from the record-keeping copy of the CUI-marked records,Information Access and Protection,,Temporary,6,Event_Age,Final action,Yes,Yes,"Destroy 6 years after change in CUI status, but longer retention is authorized if required for business use.",DAA-GRS-2019-0001-0008,,21-Dec,
GRS_4.2.195,Records of CUI misuse,Information Access and Protection,,Temporary,5,Event_Age,Final action,Yes,Yes,"Destroy 5 years after completing the investigation or completing all corrective actions, whichever is later, but longer retention is authorized if required for business use.",DAA-GRS-2019-0001-0009,,21-Dec,
GRS_4.4.010,Library administrative records,Library & Information Services,,Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy when 3 years old or 3 years after superseded or obsolete, whichever is applicable. Longer retention is authorized for business use.",DAA-GRS-2015-0003-0001,,23-Jan,This item is not machine-implementable and will be revised.
GRS_4.4.020,Library operations records,Library & Information Services,,Temporary,0,Event_Age,No longer needed,N/A,Yes,Destroy when business use ceases.,DAA-GRS-2015-0003-0002,,21-Dec,
GRS_4.4.030,Inter Library-Loan (ILL) requests,Library & Information Services,,Temporary,5,Event_Age,Final action,No,Yes,Destroy 5 years after completing the transaction.,DAA-GRS-2015-0003-0003,,21-Dec,
GRS_4.5.010,Source Records,Digitizing ,"44 U.S.C. 3302 and 3312, 36 CFR 1236.36(a), 36 CFR 1236.56 (d),(f) and (g)",Temporary,0,Event_Age,Final action,Yes,Yes,Destroy after validating the digitization process meets NARA’s digitization standards in regulation (36 CFR 1236 Subpart D and Subpart E).  Longer retention is authorized for business use.,DAA-GRS-2022-0010-0001,,23-Jun,6/2023: New item
GRS_4.5.020,Digitization Project Records - Documentation for digitizing permanent records,Digitizing ,36 CFR 1236.56,Temporary,0,Event_Age,Final action,Yes,Yes,Destroy when the digitized records are transferred to the National Archives and NARA confirms legal custody has been accepted. Longer retention is authorized if required for business use.,DAA-GRS-2022-0010-0002,,23-Jun,6/2023: New item
GRS_4.5.021,Digitization Project Records - Documentation for digitizing temporary records,Digitizing ,36 CFR 1236.34(c),Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy when the records digitized using the validation process are destroyed, but longer retention is authorized if required for business use.
",DAA-GRS-2022-0010-0003,,23-Jun,6/2023: New item; Destroy with related records.
GRS_5.1.010,Administrative records maintained in any agency office,Common Office Records,,Temporary,0,Event_Age,No longer needed,N/A,Yes,Destroy when business use ceases.,DAA-GRS-2016-0016-0001,,21-Dec,
GRS_5.1.020,Non-recordkeeping copies of electronic records,Common Office Records,,Temporary,0,Event_Age,Final action,Yes,Yes,"Destroy immediately after copying to a recordkeeping system or otherwise preserving, but longer retention is authorized if required for business use.
",DAA-GRS-2016-0016-0002,,21-Dec,
GRS_5.1.030,Records of non-mission related internal agency committees,Common Office Records,,Temporary,0,Event_Age,No longer needed,N/A,Yes,Destroy when business use ceases.,DAA-GRS-2016-0016-0003,,21-Dec,
GRS_5.2.010,Transitory records,General,,Temporary,0,Event_Age,No longer needed,N/A,Yes,"Destroy when no longer needed for business use, or according to an agency predetermined time period or business rule.",DAA-GRS-2022-0009-0001,,23-Jun,
GRS_5.2.020,Intermediary records,General ,,Temporary,0,Event_Age,Final action,Yes,Yes,"Destroy upon creation or update of the final record, or when no longer needed for business use, whichever is later.",DAA-GRS-2022-0009-0002,,23-Jun,
GRS_5.3.010,Continuity planning and related emergency planning files,Continuity and Emergency Planning,,Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy when 3 years old or 3 years after superseded or obsolete, whichever is applicable, but longer retention is authorized if required for business use.",DAA-GRS-2016-0004-0001,,23-Jan,This item is not machine-implementable and will be revised.
GRS_5.3.020,Employee emergency contact information,Continuity and Emergency Planning,,Temporary,0,Event_Age,Superseded or obsolete,No,Yes,"Destroy when superseded or obsolete, or upon separation or transfer of employee.",DAA-GRS-2016-0004-0002,,21-Dec,
GRS_5.4.010,"Facility, space, vehicle, equipment, stock, and supply administrative and operational records","Facility, Equipment, Vehicle, Property, and Supply ",,Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy when 3 years old or 3 years after superseded, as appropriate, but longer retention is authorized if required for business use.",DAA-GRS-2016-0011-0001,,23-Jan,This item is not machine-implementable and will be revised.
GRS_5.4.020,Real property ownership records,"Facility, Equipment, Vehicle, Property, and Supply ",,Temporary,N/A,N/A,N/A,No,Yes,"Transfer to new owner after unconditional sale or Government release of conditions, restrictions, mortgages, or other liens.",DAA-GRS-2016-0011-0002,,23-Jan,This item is not machine-implementable and will be revised.
GRS_5.4.030,Vehicle and equipment ownership records and operation manuals,"Facility, Equipment, Vehicle, Property, and Supply ",,Temporary,N/A,N/A,N/A,No,Yes,"Transfer with vehicle or item to new owner or destroy when item is excessed, as appropriate.",DAA-GRS-2016-0011-0003,,23-Jan,This item is not machine-implementable and will be revised.
GRS_5.4.040,"Excess personal property, equipment, and vehicle records","Facility, Equipment, Vehicle, Property, and Supply ",,Temporary,3,Creation_Age,,Yes,Yes,"Destroy when 3 years old, but longer retention is authorized if required for business use.",DAA-GRS-2016-0011-0004,,21-Dec,
GRS_5.4.050,"Facility design, engineering, and construction records - Draft, preliminary, intermediate, working, and contract negotiation drawings","Facility, Equipment, Vehicle, Property, and Supply ",,Temporary,0,Event_Age,Superseded or obsolete,Yes,Yes,"Destroy when superseded, or when project terminates, as appropriate.",DAA-GRS-2016-0011-0005,,21-Dec,
GRS_5.4.051,"Facility design, engineering, and construction records - Final and as-built drawings, plans, and designs; and all other records","Facility, Equipment, Vehicle, Property, and Supply ",,Temporary,0,Event_Age,Superseded or obsolete,No,Yes,"Destroy when superseded, or transfer to new owner, or destroy when structure is removed from Federal inventory, as appropriate.",DAA-GRS-2016-0011-0006,,21-Dec,
GRS_5.4.060,"Facility design, engineering, and construction operations records","Facility, Equipment, Vehicle, Property, and Supply ",,Temporary,5,Event_Age,Final action,Yes,Yes,"Destroy 5 years after project completion or termination, but longer retention is authorized if required for business use.",DAA-GRS-2016-0011-0007,,21-Dec,
GRS_5.4.070,"Facility, space, and equipment inspection, maintenance, and service records - Records documenting facility structure and long-term maintenance","Facility, Equipment, Vehicle, Property, and Supply ",,Temporary,3,Creation_Age,,Yes,Yes,"Destroy when 3 years old, but longer retention is authorized if required for business use.",DAA-GRS-2016-0011-0008,,21-Dec,
GRS_5.4.071,"Facility, space, and equipment inspection, maintenance, and service records - Records tracking completion of custodial and minor repair work","Facility, Equipment, Vehicle, Property, and Supply ",,N/A,N/A,N/A,N/A,N/A,N/A,Superseded,N/A ,DAA-GRS-2022-0009-0001,23-Jun,
GRS_5.4.080,Housing rental and lease records,"Facility, Equipment, Vehicle, Property, and Supply ",,Temporary,3,Event_Age,Final action,No,Yes,"Destroy 3 years after lease termination, lapse, reassignment, rejection of application, cancellation of lease, or conclusion of litigation, as applicable.",DAA-GRS-2016-0011-0010,,21-Dec,
GRS_5.4.090,"Land vehicle and water vessel inspection, maintenance, and service records","Facility, Equipment, Vehicle, Property, and Supply ",,Temporary,3,Creation_Age,,Yes,Yes,"Destroy when 3 years old, but longer retention is authorized if required for business use. Transfer of extant records to new owner at sale or donation is authorized.
",DAA-GRS-2016-0011-0011,,21-Dec,
GRS_5.4.100,"Aircraft inspection, maintenance, and modification records","Facility, Equipment, Vehicle, Property, and Supply ",,Temporary,6,Event_Age,Final action,Yes,Yes,"Destroy 6 years after disposing of aircraft or removing equipment from inventory, but longer retention is authorized if required for business use.",DAA-GRS-2016-0011-0013,,21-Dec,
GRS_5.4.110,Vehicle and heavy equipment operator records,"Facility, Equipment, Vehicle, Property, and Supply ",,Temporary,3,Event_Age,Final action,No,Yes,"Destroy 3 years after separation of employee or 3 years after rescission of authorization to operate vehicles or equipment, whichever is sooner.",DAA-GRS-2016-0011-0014,,21-Dec,
GRS_5.4.120,Aircraft flight operations records,"Facility, Equipment, Vehicle, Property, and Supply ",,Temporary,3,Creation_Age,,Yes,Yes,"Destroy when 3 years old, but longer retention is authorized if required for business use.",DAA-GRS-2016-0011-0015,,21-Dec,
GRS_5.4.130,Aircraft operational support records,"Facility, Equipment, Vehicle, Property, and Supply ",,Temporary,6,Creation_Age,,Yes,Yes,"Destroy when 6 years old, but longer retention is authorized if required for business use.",DAA-GRS-2016-0011-0016,,21-Dec,
GRS_5.4.140,Vehicle and vessel accident and incident records,"Facility, Equipment, Vehicle, Property, and Supply ",,Temporary,3,Event_Age,Final action,Yes,Yes,"Destroy 3 years after case is closed, but longer retention is authorized if required for business use.",DAA-GRS-2016-0011-0017,,21-Dec,
GRS_5.5.010,"Mail, printing, and telecommunication services administrative and operational records","Mail, Printing, and Telecommunication Service Management",,Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy when 3 years old, or 3 years after applicable agreement expires or is cancelled, as appropriate, but longer retention is authorized if required for business use.",DAA-GRS-2016-0012-0001,,23-Jan,This item is not machine-implementable and will be revised.
GRS_5.5.020,"Mail, printing, and telecommunication services control records","Mail, Printing, and Telecommunication Service Management",,Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy when 1 year old or when superseded or obsolete, whichever is applicable, but longer retention is authorized if required for business use.",DAA-GRS-2016-0012-0002,,23-Jan,This item is not machine-implementable and will be revised.
GRS_5.5.030,Metered mail records,"Mail, Printing, and Telecommunication Service Management",,Temporary,6,Creation_Age,,Yes,Yes,"Destroy when 6 years old, but longer retention is authorized if required for business use.",DAA-GRS-2016-0012-0003,,21-Dec,
GRS_5.5.040,"Lost, destroyed, or damaged shipment records","Mail, Printing, and Telecommunication Service Management",,Temporary,6,Creation_Age,,Yes,Yes,"Destroy when 6 years old, but longer retention is authorized if required for business use.",DAA-GRS-2016-0012-0004,,21-Dec,
GRS_5.6.010,Security management administrative records,Security Management,,Temporary,3,Creation_Age,,Yes,Yes,"Destroy when 3 years old, but longer retention is authorized if required for business use.",DAA-GRS-2021-0001-0001,,22-Mar,
GRS_5.6.020,Key and card access accountability records - Areas requiring highest level security awareness,Security Management,,Temporary,3,Event_Age,Final action,Yes,Yes,"Destroy 3 years after return of key, but longer retention is authorized if required for business use.",DAA-GRS-2017-0006-0002,,21-Dec,
GRS_5.6.021,Key and card access accountability records - All other facility security areas,Security Management,,Temporary,6m,Event_Age,Final action,Yes,Yes,"Destroy 6 months after return of key, but longer retention is authorized if required for business use.",DAA-GRS-2017-0006-0003,,21-Dec,
GRS_5.6.030,Securtity uniform and equipment tracking records,Security Management,,Temporary,3m,Event_Age,Final action,Yes,Yes,"Destroy 3 months after return of equipment, but longer retention is authorized if required for business use.",DAA-GRS-2021-0001-0002,,22-Mar,
GRS_5.6.040,Property pass records,Security Management,,Temporary,3m,Event_Age,Final action,Yes,Yes,"Destroy 3 months after expiration or revocation, but longer retention is authorized if required for business use.",DAA-GRS-2017-0006-0005,,21-Dec,
GRS_5.6.050,Records of credit card abuse and postal irregularities,Security Management,,Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy 3 years after completion of investigation or when 3 years old, whichever is later, but longer retention is authorized if required for business use.",DAA-GRS-2017-0006-0006,,23-Jan,This item is not machine-implementable and will be revised.
GRS_5.6.060,Unclaimed personal property records - Records for property valued over $500 ,Security Management,41 CFR 102-41.130 ,Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy when 3 years old or 3 years after the date title to the property vests in the government, but longer retention is authorized if required for business use.",DAA-GRS-2017-0006-0007,,23-Jan,This item is not machine-implementable and will be revised.
GRS_5.6.061,Unclaimed personal property records - Records for property valued at $500 or less ,Security Management,,Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy 30 days after the property is found, but longer retention is authorized if required for business use.",DAA-GRS-2017-0006-0008,,23-Jan,This item is not machine-implementable and will be revised.
GRS_5.6.070,lnteragency Security Committee member records,Security Management,,Temporary,10,Creation_Age,,Yes,Yes,"Destroy when 10 years old, but longer retention is authorized if required for business use.",DAA-GRS-2017-0006-0009,,21-Dec,
GRS_5.6.080,Facility security assessment records - Areas requiring highest level security awareness,Security Management,,Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy 5 years after updating the security assessment or terminating the security awareness status, whichever is sooner, but longer retention is authorized if required for business use.",DAA-GRS-2017-0006-0010,,23-Jan,This item is not machine-implementable and will be revised.
GRS_5.6.081,Facility security assessment records - All other facility security areas,Security Management,,Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy 3 years after updating the security assessment or terminating the security awareness status, whichever is sooner, but longer retention is authorized if required for business use.",DAA-GRS-2017-0006-0011,,23-Jan,This item is not machine-implementable and will be revised.
GRS_5.6.090,Facility security management operations records,Security Management,,Temporary,30d,Creation_Age,,Yes,Yes,"Destroy when 30 days old, but longer retention is authorized if required for business use.",DAA-GRS-2021-0001-0003,,22-Mar,
GRS_5.6.100,Accident and incident records,Security Management,,Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy 3 years after final investigation or reporting action or when 3 years old, whichever is later, but longer retention is authorized for business use.",DAA-GRS-2021-0001-0004,,23-Jan,This item is not machine-implementable and will be revised.
GRS_5.6.110,Visitor processing records - Areas requiring highest level security awareness,Security Management,,Temporary,5,Creation_Age,,Yes,Yes,"Destroy when 5 years old, but longer retention is authorized if required for business use.",DAA-GRS-2017-0006-00014,,21-Dec,
GRS_5.6.111,Visitor processing records - All other facility security areas,Security Management,,Temporary,2,Creation_Age,,Yes,Yes,"Destroy when 2 years old, but longer retention is authorized if required for business use.",DAA-GRS-2017-0006-00015,,21-Dec,
GRS_5.6.120,Personal identification credentials and cards - Application and activation records,Security Management,,Temporary,6,Event_Age,Final action,Yes,Yes,"Destroy 6 years after the end of an employee or contractor’s tenure, but longer retention is authorized if required for business use.",DAA-GRS-2021-0001-0005,,22-Mar,
GRS_5.6.121,Personal identification credentials and card - Cards,Security Management,,Temporary,0,Event_Age,Final action,No,Yes,"Destroy after expiration, confiscation, or return.",DAA-GRS-2017-0006-0017,,21-Dec,
GRS_5.6.130,Temporary and local facility identification and card access records,Security Management,,Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy upon immediate collection once the temporary credential or card is returned for potential reissuance due to nearing expiration or not to exceed 6 months from time of issuance or when individual no longer requires access, whichever is sooner, but longer retention is authorized if required for business use.",DAA-GRS-2021-0001-0006,,23-Jan,This item is not machine-implementable and will be revised.
GRS_5.6.140,Sensitive Compartmented Information Facility (SCIF) accreditation records,Security Management,,Temporary,0,Event_Age,Final action,Yes,Yes,"Destroy when SCIF receives final accreditation, but longer retention is authorized if required for business use.",DAA-GRS-2017-0006-0019,,21-Dec,
GRS_5.6.150,Sensitive Compartmented Information Facility (SCIF) inspection records,Security Management,,Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy when 5 years old or after SCIF has been de-accredited for at least one year, whichever occurs sooner, but longer retention is authorized if required for business use.",DAA-GRS-2017-0006-0020,,23-Jan,This item is not machine-implementable and will be revised.
GRS_5.6.160,Canine (K-9) service records,Security Management,,Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy when superseded or obsolete, or 3 years after dog is released from service, whichever is sooner, but longer retention is authorized if required for business use.",DAA-GRS-2017-0006-0021,,23-Jan,This item is not machine-implementable and will be revised.
GRS_5.6.170,Personnel security investigative reports - Personnel suitability and eligibility investigative reports,Security Management,,Temporary,N/A,N/A,N/A,No,Yes,Destroy in accordance with the investigating agency instruction. ,DAA-GRS-2017-0006-0022,,23-Jan,This item is not machine-implementable and will be revised.
GRS_5.6.171,Personnel security investigative reports - Reports and records created by agencies conducting investigations under delegated investigative authority,Security Management,,Temporary,N/A,N/A,N/A,No,Yes,Destroy in accordance with delegated authority agreement or memorandum of understanding.,DAA-GRS-2017-0006-0023,,23-Jan,This item is not machine-implementable and will be revised.
GRS_5.6.180,Personnel security and access clearance records - Records of people not issued clearances,Security Management,,Temporary,1,Event_Age,Final action,Yes,Yes,"Destroy 1 year after consideration of the candidate ends, but longer retention is authorized if required for business use.",DAA-GRS-2017-0006-0024,,21-Dec,
GRS_5.6.181,Personnel security and access clearance records - Records of people issued clearances,Security Management,,Temporary,5,Event_Age,Final action,Yes,Yes,"Destroy 5 years after employee or contractor relationship ends, but longer retention is authorized if required for business use.",DAA-GRS-2017-0006-0025,,21-Dec,
GRS_5.6.190,Index to the personnel security case files,Security Management,,Temporary,0,Event_Age,Superseded or obsolete,N/A,Yes,Destroy when superseded or obsolete.,DAA-GRS-2017-0006-0026,,21-Dec,
GRS_5.6.200,Information security violations records,Security Management,,Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy 5 years after close of case or final action, whichever occurs sooner, but longer retention is authorized if required for business use.",DAA-GRS-2017-0006-0027,,23-Jan,This item is not machine-implementable and will be revised.
GRS_5.6.210,Insider threat administrative and operations records,Security Management,,Temporary,7,Creation_Age,,Yes,Yes,"Destroy when 7 years old, but longer retention is authorized if required for business use.",DAA-GRS-2017-0006-0028,,21-Dec,
GRS_5.6.220,Insider threat inquiry records,Security Management,,Temporary,25,Event_Age,Final action,Yes,Yes,"Destroy 25 years after close of inquiry, but longer retention is authorized if required for business use.",DAA-GRS-2017-0006-0029,,21-Dec,
GRS_5.6.230,Insider threat information,Security Management,,Temporary,25,Creation_Age,,Yes,Yes,"Destroy when 25 years old, but longer retention is authorized if required for business use.",DAA-GRS-2017-0006-0030,,21-Dec,
GRS_5.6.240,Insider threat user activity monitoring (UAM) data,Security Management,"CNSSD No. 504, 4 February 2014",Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy no sooner than 5 years after inquiry has been opened, but longer retention is authorized if required for business use.",DAA-GRS-2017-0006-0031,,23-Jan,This item is not machine-implementable and will be revised.
GRS_5.7.010,Administrative internal control management records,Administrative Management and Oversight Records,,Temporary,1,Event_Age,Final action,Yes,Yes,"Destroy 1 year after submission or when superseded, as appropriate, but longer retention is authorized if required for business use.",DAA-GRS-2020-0001-0001,,22-Mar,
GRS_5.7.020,"Internal control review, response, and mitigation management records",Administrative Management and Oversight Records,,Temporary,5,Event_Age,Final action,Yes,Yes,"Destroy 5 years after no further corrective action is needed, but longer retention is authorized if required for business use.",DAA-GRS-2017-0008-0002,,21-Dec,
GRS_5.7.030,Administrative directives and notices,Administrative Management and Oversight Records,,Temporary,0,Event_Age,Superseded or obsolete,Yes,Yes,"Destroy when superseded, obsolete, or no longer needed for business, whichever is later.",DAA-GRS-2017-0008-0003,,21-Dec,
GRS_5.7.040,Administrative management report requirements records,Administrative Management and Oversight Records,,Temporary,2,Event_Age,Final action,Yes,Yes,"Destroy 2 years after the report is discontinued, but longer retention is authorized if required for business use.",DAA-GRS-2020-0001-0002,,22-Mar,
GRS_5.7.050,Mandatory reports to external Federal entities regarding administrative activities,Administrative Management and Oversight Records,,Temporary,6,Event_Age,Final action,Yes,Yes,"Destroy 6 years after report submission or oversight entity notice of approval, as appropriate, but longer retention is authorized if required for business use.",DAA-GRS-2020-0001-0003,,22-Mar,
GRS_5.7.060,Records of allegations and claims that fall under U.S. Office of Special Counsel jurisdiction,Administrative Management and Oversight Records,,Temporary,3,Event_Age,Final action,Yes,Yes,"Destroy 3 years after final order or final adjudication of appeal, as appropriate, but longer retention is authorized if required for business use.",DAA-GRS-2017-0008-0006,,21-Dec,
GRS_5.7.070,Federal Register notices other than proposed and final rules,Administrative Management and Oversight Records,,Temporary,1,Creation_Age,,Yes,Yes,"Destroy when 1 year old, but longer retention is authorized if required for business use.",DAA-GRS-2017-0012-0004,,21-Dec,
GRS_5.7.080,Agency input into the unified agenda,Administrative Management and Oversight Records,,Temporary,2,Creation_Age,,Yes,Yes,"Destroy when 2 years old, but longer retention is authorized if required for business use.",DAA-GRS-2017-0012-0005,,21-Dec,
GRS_5.8.010,Technical and administrative help desk operational records ,Technical and administrative help desk request records,,Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy 1 year after resolved, or when no longer needed for business use, whichever is appropriate.",DAA-GRS-2017-0001-0001,,23-Jan,This item is not machine-implementable and will be revised.
GRS_6.1.010,Email and other electronic messages of Capstone officials,Capstone Email and Electronic Messages,,Permanent,[Variable],Event_Age,[Variable],No,Yes,"Cutoff and transfer in accordance with the agency's approved NA-1005, Verification for Implementing GRS 6.1. This will be between 15 and 30 years, or after declassification review (when applicable), whichever is later.",DAA-GRS-2022-0006-0001,,23-Jan,"Agencies will need to add their cutoff event and the retention period from their approved NA-1005.
01/2023 Revision: Changed item title, classification, and disposition authority. See published schedule for more information."
GRS_6.1.011,"Email and other types of electronic
messages of Non-Capstone officials - All others except those in item 012",Capstone Email and Electronic Messages,,Temporary,7,Creation_Age,,Yes,Yes,"Delete when 7 years old, but longer retention is authorized if required for business use.",DAA-GRS-2022-0006-0002,,23-Jan,"01/2023 Revision: Changed item title, classification, and disposition authority. See published schedule for more information."
GRS_6.1.012,"Email and other types of electronic
messages of Non-Capstone officials - Support and/or administrative positions",Capstone Email and Electronic Messages,,Temporary,3,Creation_Age,,Yes,Yes,"Delete when 3 years old, but longer retention is authorized if required for business use.",DAA-GRS-2022-0006-0003,,23-Jan,"01/2023 Revision: Changed item title, classification, and disposition authority. See published schedule for more information."
GRS_6.2.010,Substantive Committee Records (Non-Grant Review Committees) ,Federal Advisory Committees,,Permanent,15,Creation_Age,,No,Yes,"Transfer when records are 15 years old or upon termination of committee, whichever is sooner.  ",DAA-GRS-2015-0001-0001,,21-Dec,This instruction is only used for committees that are in existence for over 15 years. Otherwise records are transferred upon termination of the committee.
GRS_6.2.020,Substantive Audiovisual Records (Non-Grant Review Committees),Federal Advisory Committees,,Permanent,3,Creation_Age,,No,Yes,"Transfer when records are 3 years old or upon termination of committee, whichever is sooner.  ",DAA-GRS-2015-0001-0002,,21-Dec,This instruction is only used for committees that are in existence for over 3 years. Otherwise records are transferred upon termination of the committee.
GRS_6.2.030,Grant Review Committee Records,Federal Advisory Committees,,Temporary,0,Event_Age,Final action,No,Yes,Destroy upon termination of committee.,DAA-GRS-2015-0001-0003,,21-Dec,
GRS_6.2.040,Committee Accountability Records,Federal Advisory Committees,,Temporary,6,Creation_Age,,Yes,Yes,Destroy when 6 years old. Longer retention is authorized if required for business use.,DAA-GRS-2015-0001-0004,,21-Dec,
GRS_6.2.050,Non-substantive Committee Records,Federal Advisory Committees,,Temporary,0,Event_Age,Superseded or obsolete,No,Yes,"Destroy when superseded, obsolete, no longer needed, or upon termination of the committee, whichever is sooner.",DAA-GRS-2015-0001-0005,,21-Dec,
GRS_6.2.060,"Committee Management Records 
",Federal Advisory Committees,,Temporary,N/A,N/A,N/A,Yes,Yes,"Destroy when 3 years old, 3 years after submission of report, or 3 years after superseded or obsolete, as appropriate. Longer retention is authorized if required for business use.",DAA-GRS-2015-0001-0006,,23-Jan,This item is not machine-implementable and will be revised.
GRS_6.3.010,Information Technology program and capital investment planning records,Information Technology Records,,Temporary,7,Creation_Age,,Yes,Yes,"Destroy when 7 years old, but longer retention is authorized if required for business use.",DAA-GRS-2017-0009-0001,,21-Dec,
GRS_6.3.020,Enterprise architecture records,Information Technology Records,,Temporary,7,Event_Age,Superseded or obsolete,Yes,Yes,"Destroy 7 years after creating a new iteration of the enterprise or information architecture, but longer retention is authorized if required for business use.",DAA-GRS-2017-0009-0002,,21-Dec,
